"model","R2","MAE","RMSE","k","q"
"FFRK_rpart",0.432910066360526,0.639387800429977,0.859561643489324,20,8
"FFRK_svmRadial",0.451871597918416,0.60849894282356,0.845069079771175,20,8
"FFRK_lm",0.474723527989913,0.62758688052565,0.827265727953712,20,9
"FFRK_rf",0.506561867479197,0.578443532870412,0.801802512234716,20,9
"FFRK_rpart",0.424129388818201,0.635160680505098,0.866190699277241,20,9
"FFRK_svmRadial",0.459415622332222,0.613447848307675,0.839233485462937,20,9
"FFRK_lm",0.476332537129741,0.61703673620798,0.825997729974661,20,10
"FFRK_rf",0.493758876855745,0.586170615179855,0.812137882806422,20,10
"FFRK_rpart",0.350287474964326,0.691678948656968,0.920050526120679,20,10
"FFRK_svmRadial",0.449424639422145,0.626715230282972,0.846953260802029,20,10
"FFRK_lm",0.479562638043763,0.620396934487765,0.823446317823473,20,11
"FFRK_rf",0.518398056578705,0.566916575396793,0.792127651492877,20,11
"FFRK_rpart",0.428822014885289,0.64473082392818,0.862654294170241,20,11
"FFRK_svmRadial",0.459805795121404,0.620450328609971,0.838930567741745,20,11
"FFRK_lm",0.462507559170628,0.630100985986454,0.836829995753803,20,12
"FFRK_rf",0.510174808616265,0.576073707288764,0.798861730721919,20,12
"FFRK_rpart",0.439413812171866,0.635350915314041,0.854618431524336,20,12
"FFRK_svmRadial",0.467233987995628,0.607736140379382,0.833142547722378,20,12
"FFRK_lm",0.425585305610878,0.642652451031785,0.865095054136591,20,13
"FFRK_rf",0.498815550146238,0.586591821347377,0.808071616313374,20,13
"FFRK_rpart",0.291916875666178,0.727980102962291,0.960490736125388,20,13
"FFRK_svmRadial",0.432274899872265,0.628935229846803,0.860042882819618,20,13
"FFRK_lm",0.441326124053126,0.639800273904526,0.853159518375735,20,14
"FFRK_rf",0.500932006899706,0.584630402312847,0.806363604413739,20,14
"FFRK_rpart",0.428389979972143,0.645457901108109,0.862980485246509,20,14
"FFRK_svmRadial",0.423460245137786,0.639221271302426,0.866693796455603,20,14
"FFRK_lm",0.439913317967603,0.644280670048083,0.854237596244344,20,15
"FFRK_rf",0.487456908180507,0.591984066159691,0.817177218321542,20,15
"FFRK_rpart",0.432043381234882,0.640676410178738,0.860218227947491,20,15
"FFRK_svmRadial",0.43022780949527,0.633260917746948,0.861592049215303,20,15
"FFRK_lm",0.459004344079247,0.628694310688743,0.839552670470449,20,16
"FFRK_rf",0.501450094462555,0.58013566998441,0.8059449486006,20,16
"FFRK_rpart",0.439664132954559,0.635251997602228,0.854427602133355,20,16
"FFRK_svmRadial",0.427268354576905,0.637743333413514,0.863826749684408,20,16
"FFRK_lm",0.43350989304095,0.646046332719368,0.856237421436975,20,17
"FFRK_rf",0.50629034303081,0.573566656600841,0.799344241555826,20,17
"FFRK_rpart",0.423207709449636,0.644636491891584,0.86398810446771,20,17
"FFRK_svmRadial",0.423994471299178,0.639363049987484,0.86339865064767,20,17
"FFRK_lm",0.430102938757494,0.652228952560831,0.863941769059527,20,18
"FFRK_rf",0.505360249096335,0.580470153311701,0.804879321770253,20,18
"FFRK_rpart",0.332947300965447,0.70126855015622,0.934687286520733,20,18
"FFRK_svmRadial",0.432324586392246,0.637591916666019,0.862256159005854,20,18
