"model","R2","MAE","RMSE","k","q"
"FFRK_svmRadial",0.559087427179233,0.372675872162075,0.493689541546859,30,3
"FFRK_lm",0.552926871129713,0.377246301242955,0.497126562877476,30,4
"FFRK_rf",0.529790017823799,0.371429034135116,0.509827911256255,30,4
"FFRK_rpart",0.370610517135822,0.464463507920691,0.589844353495987,30,4
"FFRK_svmRadial",0.523799905583466,0.379085066583749,0.513065041287273,30,4
"FFRK_lm",0.528379616822696,0.39423038998332,0.510591956493502,30,5
"FFRK_rf",0.568682437480679,0.358987260121087,0.488288230858271,30,5
"FFRK_rpart",0.357981109952375,0.466133116581916,0.595732904979887,30,5
"FFRK_svmRadial",0.551064335787662,0.377099053669007,0.498161017176471,30,5
"FFRK_lm",0.497374342233059,0.404658864016064,0.527108491747548,30,6
"FFRK_rf",0.525295991644576,0.375798253086779,0.512258454621397,30,6
"FFRK_rpart",0.317671018643916,0.466090963947695,0.614150195648693,30,6
"FFRK_svmRadial",0.560662072578624,0.366475640069943,0.49280718829659,30,6
"FFRK_lm",0.496915242995984,0.398761685406547,0.527349167753839,30,7
"FFRK_rf",0.547163086802869,0.360305681930773,0.500320843650397,30,7
"FFRK_rpart",0.407591226707635,0.456554921030235,0.572253458854663,30,7
"FFRK_svmRadial",0.53320484543674,0.370101384985502,0.507973264486601,30,7
"FFRK_lm",0.504390278656704,0.391410645146987,0.523416722605736,30,8
"FFRK_rf",0.499479938015858,0.376467874472311,0.526003253471461,30,8
"FFRK_rpart",0.42703587170338,0.451172155467717,0.562783559492288,30,8
"FFRK_svmRadial",0.493861176161769,0.389423176850543,0.528947429949168,30,8
"FFRK_lm",0.541918572521428,0.38547260415145,0.503209727203718,30,9
"FFRK_rf",0.563145575039581,0.362724865926573,0.491412336746401,30,9
"FFRK_rpart",0.40727904598969,0.45418891352519,0.572404218747678,30,9
"FFRK_svmRadial",0.539643573084886,0.383844732326675,0.504457741115666,30,9
"FFRK_lm",0.526162281573577,0.387695950584703,0.512911194204408,30,10
"FFRK_rf",0.550598572028394,0.363471133842554,0.499510460422723,30,10
"FFRK_rpart",0.416763018761443,0.453237365463561,0.569049295570931,30,10
"FFRK_svmRadial",0.551090896661346,0.363539218064045,0.499236775607631,30,10
"FFRK_lm",0.543891510166998,0.38496218933774,0.504233633608003,30,11
"FFRK_rf",0.592368571697127,0.350091887077085,0.476685084528638,30,11
"FFRK_rpart",0.408093763997616,0.45079702074833,0.574412907785505,30,11
"FFRK_svmRadial",0.57428462148053,0.361508225922938,0.487144049739605,30,11
"FFRK_lm",0.497060588981839,0.398179621908771,0.528427240878254,30,12
"FFRK_rf",0.538392738518974,0.360602970318509,0.506248418325623,30,12
"FFRK_rpart",0.425930172278475,0.45125039226165,0.564559505637144,30,12
"FFRK_svmRadial",0.473262796386223,0.378301235027007,0.540784655531379,30,12
"FFRK_lm",0.531551930980406,0.384112307059969,0.509985807139489,30,13
"FFRK_rf",0.56256938865641,0.35256630039774,0.492812765705116,30,13
"FFRK_rpart",0.469097856084911,0.435397735042727,0.542918452964521,30,13
"FFRK_svmRadial",0.529846998385398,0.371309934984674,0.510913019549558,30,13
"FFRK_lm",0.555449312068733,0.378555801634789,0.497803993236706,30,14
"FFRK_rf",0.563893966292314,0.357496110061116,0.493053198450224,30,14
"FFRK_rpart",0.411748671543402,0.440252108738324,0.572636716831371,30,14
"FFRK_svmRadial",0.52961928460627,0.36891373247398,0.51206192778339,30,14
"FFRK_lm",0.555621913177076,0.379903829694313,0.496710888976372,30,15
"FFRK_rf",0.535513553375028,0.36778437530843,0.507824776910212,30,15
"FFRK_rpart",0.407449547589004,0.456281004598933,0.573574757744967,30,15
"FFRK_svmRadial",0.49381187777871,0.385821327837846,0.530131167963344,30,15
