"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,4.34963256686288,3.58255330749967,120.51741,-28.0635,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.70048036579242,3.63738225931775,120.60454,-28.05237,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.60517018598809,3.59685169854492,120.53053,-28.04432,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.17383504075065,120.17346,-28.04328,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.28752860069721,120.24427,-28.03071,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.44998754583159,3.60183230917983,120.53181,-28.02646,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.25809653802148,3.54781297963859,120.46173,-28.02005,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.18965474202643,3.61880210578488,120.55408,-28.01514,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.36729582998647,3.54122562082784,120.45248,-28.00805,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,3.54563456117353,120.45625,-28.00033,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.69074306012931,120.83041,-27.99881,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.3322045101752,3.54853551603287,120.45887,-27.99568,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.91202300542815,3.54896468185188,120.45934,-27.99565,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.54773390518903,120.45776,-27.99369,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.2188758248682,3.47153227058448,120.38276,-27.99335,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,3.60020350411446,121.04293,-27.99277,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.97029191355212,3.54951748995518,120.45933,-27.99006,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.07944154167984,3.3497874530949,120.28591,-27.9888,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.09861228866811,3.47182543317513,120.38277,-27.98876,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,3.54841759404007,120.45789,-27.98774,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.04452243772342,3.67956543623586,120.8964,-27.98522,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.69699477467861,120.76308,-27.98482,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.93447393313069,3.58682595456639,120.5017,-27.9763,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,5.04985600724954,3.63803172608164,120.57539,-27.97444,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.71357206670431,3.37073165072115,120.30114,-27.97255,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.59511985013459,3.62751709701001,120.55775,-27.97126,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.87120101090789,3.615829724896,120.54012,-27.97082,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.33073334028633,3.60914881408576,120.53062,-27.9708,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.23410650459726,3.60827494195314,120.52939,-27.97068,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.06044301054642,3.59828813503555,120.51573,-27.96914,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.53259949315326,3.6656918427891,120.62686,-27.96613,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.35670882668959,3.66600606466113,120.62737,-27.96539,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.60517018598809,3.67679018900503,120.65298,-27.96342,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.63758615972639,3.65048352392478,120.59533,-27.96276,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.26267987704132,3.67322658708122,120.64031,-27.94917,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.00733318523247,3.65376861594723,120.59822,-27.93638,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.98898404656427,3.27584747098331,120.23824,-27.93205,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.0943445622221,3.62332470458819,121.03582,-27.93177,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.67300497123597,120.94888,-27.92744,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,3.6025437456899,120.52003,-27.92262,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.94591014905531,3.46385500454653,120.37722,-27.91975,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.77912349311153,3.58366878458446,121.09295,-27.91439,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.09104245335832,3.29279188219243,120.25182,-27.90751,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.30258509299405,3.68906366488727,120.91482,-27.90744,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.2188758248682,3.50430119717157,121.17794,-27.90647,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.29583686600433,3.17269032694844,120.17851,-27.90541,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.14313472639153,3.68070583140775,120.65477,-27.89949,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.04452243772342,3.37680285885426,120.31136,-27.89577,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.55534806148941,3.60489757639471,120.52531,-27.89483,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.55387689160054,3.52333184066811,121.16322,-27.88933,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.17438726989564,3.52572066836024,121.16121,-27.8875,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.67282883446191,3.61775620087997,120.54642,-27.87024,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.98898404656427,3.69941949968461,120.71877,-27.86375,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.38202663467388,3.61071123994043,120.53988,-27.85567,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,5.12989871492307,3.68859703806015,120.68437,-27.85378,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.66356164612965,3.14988978160159,120.17447,-27.85096,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.4188406077966,3.56453097161511,121.12594,-27.8494,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.52636052461616,3.64213883200273,121.02362,-27.82987,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.67282883446191,3.63014933727936,120.577,-27.82343,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.484906649788,3.12470462249394,120.16642,-27.82295,"Nug;Sph","0.7269;0","0;0.1698","0;0"
