"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,3.40119738166216,3.61473076424643,120.60877,-27.98899,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.00369246591904,120.2388,-27.98676,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,1.97096271509308,120.19336,-27.98673,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.77609877975168,120.4514,-27.97626,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.77912349311153,3.55547410111117,120.56553,-27.97369,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.77912349311153,3.45921121083561,120.5399,-27.97112,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,6.92657703322272,3.46029605364367,120.54012,-27.97082,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.64439089914137,3.39283351070091,120.52824,-27.97057,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,3.42745868488606,120.73452,-27.96747,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.63758615972639,3.64148858732834,120.63194,-27.9641,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.61091791264422,3.63080780920119,120.65298,-27.96342,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.38202663467388,3.58136939420959,120.57713,-27.95865,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.00591796843819,120.21393,-27.9489,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.43081679884331,3.64129458300786,120.64136,-27.94475,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.83321334405622,3.11022848663735,121.14639,-27.94287,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,3.22332738965514,120.84431,-27.94135,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.89037175789616,3.01237375045957,120.47825,-27.93786,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.06044301054642,3.5304931930779,120.56333,-27.93783,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,3.36639308830465,120.76069,-27.93652,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.14313472639153,3.61733875239078,120.59822,-27.93638,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,2.07193678660028,120.26515,-27.93589,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,3.59316045109074,120.67385,-27.93404,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.19722457733622,2.79864193614723,120.44603,-27.9164,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.68213122712422,3.29512283512588,121.09295,-27.91439,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.0124353368505,120.17851,-27.90541,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.09104245335832,3.00497295022936,120.47524,-27.89485,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.13549421592915,3.08631416319794,121.18603,-27.89474,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.37828136147682,120.3527,-27.88632,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.13549421592915,3.38059689457035,120.74867,-27.86692,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,3.25864680635417,121.13314,-27.86637,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.87120101090789,3.45818570278456,120.71877,-27.86375,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,5.01727983681492,3.40201737614095,121.04074,-27.86278,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.29045944114839,3.39559006192386,121.0594,-27.85725,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,3.09660444803478,120.49002,-27.85414,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.30406509320417,3.28781791624707,121.12594,-27.8494,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.87120101090789,3.21037988981207,121.15829,-27.84661,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.83321334405622,3.35874521013885,121.08848,-27.84536,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.56494935746154,2.66481402535876,120.40922,-27.84319,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.76120011569356,3.37868130408734,121.02362,-27.82987,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.87120101090789,3.4910735553431,120.57051,-27.82448,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.39444915467244,3.49768974335328,120.57263,-27.82424,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.04452243772342,3.23597635389512,120.91854,-27.82289,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.56494935746154,2.16199340831834,120.21878,-27.8163,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,3.20384715945534,120.81921,-27.79814,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.53259949315326,3.43738914166994,120.68908,-27.78056,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,3.21751904166772,120.787,-27.76899,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.99573227355399,3.01014916541694,120.48309,-27.76823,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.94591014905531,2.57557004181581,120.37243,-27.76307,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,3.17808710001161,120.81506,-27.76292,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.86753445045558,3.44012233349389,120.66889,-27.76055,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.72791206274878,120.41836,-27.7489,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.39789527279837,3.34660585148604,120.70175,-27.74111,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,5.28066243130932,3.24193598559213,120.54365,-27.7334,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.97029191355212,3.38277440594229,120.66802,-27.72647,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.94591014905531,2.23370871400087,120.20545,-27.72435,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,3.16623774681782,120.52802,-27.71667,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,3.28030122872535,120.71129,-27.71525,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,3.14358396387644,120.77287,-27.70319,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,3.19423164498623,120.53861,-27.70194,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.39789527279837,2.23470636933305,120.18538,-27.67059,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,0.182321556793955,2.7200147312614,120.41385,-27.66678,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.76120011569356,3.24900191245751,120.66209,-27.65319,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,3.0898515809738,120.73377,-27.64648,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,2.54551969982749,120.33169,-27.63963,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,2.76875218014326,120.41902,-27.62578,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,-0.510825623765991,2.49480251891888,120.30353,-27.62007,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.99573227355399,3.129517741969,120.68142,-27.61525,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.26267987704132,3.22318040291406,120.62032,-27.59962,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,2.95334812333416,120.751,-27.59748,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.70805020110221,3.1312808855746,120.64624,-27.57844,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.94443897916644,2.83510213505471,120.75799,-27.54665,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.09104245335832,3.15196131809109,120.60048,-27.54547,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.26267987704132,3.09185923485948,120.52608,-27.51983,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.94591014905531,2.08677803581228,120.08854,-27.50866,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.05214636942241,120.07498,-27.49309,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.87242441477008,120.47037,-27.48203,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.56494935746154,2.69185801023013,120.40309,-27.46646,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.39789527279837,2.93537292966961,120.51433,-27.46626,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,2.60903829061467,120.36606,-27.4585,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,2.37100925637079,120.2388,-27.45528,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.77258872223978,2.88083939676011,120.57926,-27.42943,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,2.78633062137101,120.52501,-27.4058,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.58569391263602,120.81184,-27.36682,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,2.52091309605656,120.3963,-27.36182,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,2.0752988916773,120.11852,-27.35145,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.63901227918076,120.63514,-27.33867,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.5074928462389,120.42168,-27.33478,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.13012793547928,120.15279,-27.33381,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.52660247139976,120.83752,-27.30957,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.99573227355399,2.55881559050531,120.63226,-27.29371,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
