"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,2.99573227355399,2.80907544587716,120.76295,-27.33515,NA,NA,NA,NA
"lm",1,3.29583686600433,2.97784298158222,120.20156,-27.32213,NA,NA,NA,NA
"lm",1,3.29583686600433,2.20387797036524,120.06145,-27.32024,NA,NA,NA,NA
"lm",1,3.17805383034795,3.09886713136346,120.18359,-27.31692,NA,NA,NA,NA
"lm",1,3.29583686600433,3.04168931780384,120.68962,-27.29265,NA,NA,NA,NA
"rf",1,3.63758615972639,3.00921009976874,120.4861,-28.51064,NA,NA,NA,NA
"rf",1,5.37063802812766,3.04977394194498,120.45822,-28.49214,NA,NA,NA,NA
"rf",1,3.40119738166216,4.19875762967009,120.53746,-28.46935,NA,NA,NA,NA
"rf",1,2.99573227355399,3.05132691774382,120.35519,-28.4611,NA,NA,NA,NA
"rf",1,3.52636052461616,3.06835877548169,120.17125,-28.4465,NA,NA,NA,NA
"rf",1,2.19722457733622,3.21792484773546,120.65677,-28.43555,NA,NA,NA,NA
"rf",1,3.40119738166216,3.05725243007254,120.05543,-28.41446,NA,NA,NA,NA
"rf",1,3.25809653802148,3.17532197304273,120.38929,-28.41181,NA,NA,NA,NA
"rf",1,3.40119738166216,3.27640542522924,120.3639,-28.4068,NA,NA,NA,NA
"rf",1,3.46573590279973,3.16888642769642,120.1658,-28.39938,NA,NA,NA,NA
"rf",1,3.61091791264422,3.25543680081418,120.56237,-28.38919,NA,NA,NA,NA
"rf",1,3.52636052461616,3.28218624765162,120.37496,-28.3849,NA,NA,NA,NA
"rf",1,2.89037175789616,3.16072746064974,120.45307,-28.38284,NA,NA,NA,NA
"rf",1,2.77258872223978,3.08554402146679,120.49417,-28.37591,NA,NA,NA,NA
"rf",1,2.89037175789616,3.14996098741556,120.1305,-28.3607,NA,NA,NA,NA
"rf",1,3.8286413964891,3.05637248624674,120.54726,-28.33155,NA,NA,NA,NA
"rf",1,2.89037175789616,3.13044683258033,120.27564,-28.32945,NA,NA,NA,NA
"rf",1,2.63905732961526,3.12955754359628,120.73231,-28.32749,NA,NA,NA,NA
"rf",1,4.28358656186063,3.66298019755589,121.06529,-28.32348,NA,NA,NA,NA
"rf",1,3.17805383034795,3.05040674979858,120.40505,-28.3195,NA,NA,NA,NA
"rf",1,2.70805020110221,3.07629505887182,120.79678,-28.30737,NA,NA,NA,NA
"rf",1,4.31748811353631,3.99418858457115,121.00608,-28.30672,NA,NA,NA,NA
"rf",1,2.77258872223978,2.84268216865127,121.14028,-28.29698,NA,NA,NA,NA
"rf",1,3.17805383034795,3.39700650426644,121.01559,-28.29534,NA,NA,NA,NA
"rf",1,3.09104245335832,3.25148382773473,120.48783,-28.2941,NA,NA,NA,NA
"rf",1,1.94591014905531,3.03140926426931,120.80632,-28.28944,NA,NA,NA,NA
"rf",1,2.63905732961526,2.97469724462142,120.9321,-28.28414,NA,NA,NA,NA
"rf",1,2.99573227355399,3.59796551457802,120.45584,-28.28031,NA,NA,NA,NA
"rf",1,3.78418963391826,2.9574179329323,120.61511,-28.27848,NA,NA,NA,NA
"rf",1,2.39789527279837,3.37354586899025,121.0493,-28.27662,NA,NA,NA,NA
"rf",1,2.63905732961526,2.76722383890735,120.4197,-28.27564,NA,NA,NA,NA
"rf",1,4.56434819146784,4.09113051753912,120.46984,-28.27402,NA,NA,NA,NA
"rf",1,4.23410650459726,3.07454695754538,120.22522,-28.27335,NA,NA,NA,NA
"rf",1,4.64439089914137,4.21327262666035,120.47653,-28.27326,NA,NA,NA,NA
"rf",1,4.96284463025991,4.21327262666035,120.47668,-28.27313,NA,NA,NA,NA
"rf",1,3.17805383034795,3.05084424980643,120.58841,-28.26701,NA,NA,NA,NA
"rf",1,3.36729582998647,3.03935740057739,120.81579,-28.24712,NA,NA,NA,NA
"rf",1,3.09104245335832,2.99300334113796,120.2483,-28.24124,NA,NA,NA,NA
"rf",1,4.06044301054642,3.85193113331453,120.91474,-28.23615,NA,NA,NA,NA
"rf",1,3.87120101090789,3.24199375652052,121.11648,-28.23055,NA,NA,NA,NA
"rf",1,3.68887945411394,3.09570798918479,120.5894,-28.2296,NA,NA,NA,NA
"rf",1,3.29583686600433,3.96542352610036,121.02579,-28.22527,NA,NA,NA,NA
"rf",1,4.43081679884331,3.807424158982,120.90232,-28.22247,NA,NA,NA,NA
"rf",1,4.96284463025991,4.13364056285117,120.90624,-28.21708,NA,NA,NA,NA
"rf",1,3.40119738166216,3.29257151411785,121.13525,-28.20755,NA,NA,NA,NA
"rf",1,3.63758615972639,3.43628380808789,121.10133,-28.20295,NA,NA,NA,NA
"rf",1,3.3322045101752,2.98560690778988,120.25872,-28.20155,NA,NA,NA,NA
