"k","model","o","p"
2,"hier_rpart",3.49650756146648,3.70621424947188
2,"hier_rpart",4.40671924726425,3.70621424947188
2,"hier_rpart",4.55387689160054,3.70621424947188
2,"hier_rpart",3.49650756146648,3.70621424947188
2,"hier_rpart",3.43398720448515,3.70621424947188
2,"hier_rpart",2.70805020110221,3.70621424947188
2,"hier_rpart",2.07944154167984,3.70621424947188
2,"hier_rpart",3.76120011569356,3.70621424947188
2,"hier_rpart",1.38629436111989,2.22740668891514
2,"hier_rpart",1.79175946922805,2.22740668891514
2,"hier_rpart",2.99573227355399,2.22740668891514
2,"hier_rpart",4.17438726989564,3.70621424947188
2,"hier_rpart",2.30258509299405,2.22740668891514
2,"hier_rpart",2.63905732961526,2.22740668891514
2,"hier_rpart",2.30258509299405,2.22740668891514
2,"hier_rpart",4.35670882668959,3.70621424947188
2,"hier_rpart",3.25809653802148,2.62221143199535
2,"hier_rpart",3.43398720448515,3.70621424947188
2,"hier_rpart",4.17438726989564,3.70621424947188
2,"hier_rpart",4.68582808900555,3.70621424947188
2,"hier_rpart",4.70138904372863,3.70621424947188
2,"hier_rpart",2.484906649788,2.22740668891514
2,"hier_rpart",2.94443897916644,3.70621424947188
2,"hier_rpart",2.99573227355399,2.62221143199535
2,"hier_rpart",2.30258509299405,2.22740668891514
2,"hier_rpart",2.89037175789616,2.62221143199535
2,"hier_rpart",3.46573590279973,2.22740668891514
2,"hier_rpart",1.6094379124341,2.62221143199535
2,"hier_rpart",0.693147180559945,2.62221143199535
2,"hier_rpart",3.68887945411394,2.62221143199535
2,"hier_rpart",2.63905732961526,2.62221143199535
2,"hier_rpart",3.25809653802148,2.22740668891514
2,"hier_rpart",2.83321334405622,2.62221143199535
2,"hier_rpart",1.6094379124341,3.70621424947188
2,"hier_rpart",4.25632167829882,3.70621424947188
2,"hier_rpart",3.61091791264422,3.70621424947188
2,"hier_rpart",2.70805020110221,3.70621424947188
2,"hier_rpart",2.484906649788,3.70621424947188
2,"hier_rpart",3.58351893845611,2.62221143199535
2,"hier_rpart",2.07944154167984,2.22740668891514
2,"hier_rpart",4.8283137373023,3.70621424947188
2,"hier_rpart",5.20948615284142,3.70621424947188
2,"hier_rpart",4.29045944114839,3.70621424947188
2,"hier_rpart",2.484906649788,3.70621424947188
2,"hier_rpart",3.97029191355212,3.70621424947188
2,"hier_rpart",2.484906649788,2.22740668891514
2,"hier_rpart",3.40119738166216,3.70621424947188
2,"hier_rpart",1.38629436111989,3.70621424947188
2,"hier_rpart",1.09861228866811,2.62221143199535
2,"hier_rpart",3.98898404656427,2.62221143199535
2,"hier_rpart",2.56494935746154,2.62221143199535
2,"hier_rpart",2.30258509299405,2.62221143199535
2,"hier_rpart",4.70048036579242,2.62221143199535
2,"hier_rpart",2.77258872223978,2.22740668891514
2,"hier_rpart",4.27666611901606,2.62221143199535
2,"hier_rpart",5.95064255258773,3.70621424947188
2,"hier_rpart",4.74493212836325,3.70621424947188
2,"hier_rpart",5.63478960316925,3.70621424947188
2,"hier_rpart",2.07944154167984,3.70621424947188
2,"hier_rpart",2.07944154167984,2.62221143199535
2,"hier_rpart",4.97673374242057,3.70621424947188
2,"hier_rpart",2.07944154167984,2.22740668891514
2,"hier_rpart",1.79175946922805,2.22740668891514
2,"hier_rpart",3.78418963391826,2.22740668891514
2,"hier_rpart",2.30258509299405,3.70621424947188
2,"hier_rpart",0.693147180559945,3.70621424947188
2,"hier_rpart",2.52572864430826,3.70621424947188
2,"hier_rpart",0.693147180559945,2.22740668891514
2,"hier_rpart",2.484906649788,2.22740668891514
2,"hier_rpart",4.15966402834274,3.70621424947188
2,"hier_rpart",3.3322045101752,2.62221143199535
2,"hier_rpart",2.68784749378469,3.70621424947188
2,"hier_rpart",3.5945687746427,3.70621424947188
2,"hier_rpart",3.28952066443753,3.70621424947188
2,"hier_rpart",1.84054963339749,3.70621424947188
2,"hier_rpart",3.40119738166216,2.62221143199535
2,"hier_rpart",1.38629436111989,2.22740668891514
2,"hier_rpart",2.07944154167984,2.22740668891514
2,"hier_rpart",2.07944154167984,2.22740668891514
2,"hier_rpart",4.77912349311153,3.70621424947188
2,"hier_rpart",4.77912349311153,3.70621424947188
2,"hier_rpart",6.92657703322272,3.70621424947188
2,"hier_rpart",4.64439089914137,3.70621424947188
2,"hier_rpart",2.30258509299405,2.62221143199535
2,"hier_rpart",3.63758615972639,3.70621424947188
2,"hier_rpart",3.61091791264422,3.70621424947188
2,"hier_rpart",4.38202663467388,3.70621424947188
2,"hier_rpart",1.38629436111989,2.22740668891514
2,"hier_rpart",4.43081679884331,3.70621424947188
2,"hier_rpart",2.83321334405622,2.62221143199535
2,"hier_rpart",2.484906649788,2.62221143199535
2,"hier_rpart",2.89037175789616,2.62221143199535
2,"hier_rpart",4.06044301054642,3.70621424947188
2,"hier_rpart",2.484906649788,2.62221143199535
2,"hier_rpart",4.14313472639153,2.62221143199535
2,"hier_rpart",1.79175946922805,2.22740668891514
2,"hier_rpart",2.07944154167984,2.62221143199535
2,"hier_rpart",2.19722457733622,2.22740668891514
2,"hier_rpart",4.68213122712422,3.70621424947188
2,"hier_rpart",2.484906649788,2.22740668891514
2,"hier_rpart",3.09104245335832,2.62221143199535
2,"hier_rpart",3.13549421592915,2.62221143199535
2,"hier_rpart",2.484906649788,2.22740668891514
2,"hier_rpart",3.13549421592915,3.70621424947188
2,"hier_rpart",2.63905732961526,2.62221143199535
2,"hier_rpart",3.87120101090789,3.70621424947188
2,"hier_rpart",5.01727983681492,3.70621424947188
2,"hier_rpart",4.29045944114839,3.70621424947188
2,"hier_rpart",2.94443897916644,2.62221143199535
2,"hier_rpart",4.30406509320417,2.62221143199535
2,"hier_rpart",3.87120101090789,2.62221143199535
2,"hier_rpart",2.83321334405622,3.70621424947188
2,"hier_rpart",2.56494935746154,2.22740668891514
2,"hier_rpart",3.76120011569356,3.70621424947188
2,"hier_rpart",3.87120101090789,3.70621424947188
2,"hier_rpart",4.39444915467244,3.70621424947188
2,"hier_rpart",3.04452243772342,2.62221143199535
2,"hier_rpart",2.56494935746154,2.22740668891514
2,"hier_rpart",2.94443897916644,2.62221143199535
2,"hier_rpart",4.53259949315326,3.70621424947188
2,"hier_rpart",2.07944154167984,2.62221143199535
2,"hier_rpart",2.99573227355399,2.62221143199535
2,"hier_rpart",1.94591014905531,2.22740668891514
2,"hier_rpart",2.63905732961526,2.62221143199535
2,"hier_rpart",4.86753445045558,3.70621424947188
2,"hier_rpart",1.38629436111989,2.22740668891514
2,"hier_rpart",2.39789527279837,3.70621424947188
2,"hier_rpart",5.28066243130932,3.70621424947188
2,"hier_rpart",3.97029191355212,3.70621424947188
2,"hier_rpart",1.94591014905531,2.22740668891514
2,"hier_rpart",2.94443897916644,2.62221143199535
2,"hier_rpart",2.07944154167984,2.62221143199535
2,"hier_rpart",1.6094379124341,2.62221143199535
2,"hier_rpart",1.6094379124341,2.62221143199535
2,"hier_rpart",2.39789527279837,2.22740668891514
2,"hier_rpart",0.182321556793955,2.22740668891514
2,"hier_rpart",3.76120011569356,2.62221143199535
2,"hier_rpart",2.484906649788,2.62221143199535
2,"hier_rpart",2.63905732961526,2.22740668891514
2,"hier_rpart",2.94443897916644,2.22740668891514
2,"hier_rpart",-0.510825623765991,2.22740668891514
2,"hier_rpart",2.99573227355399,2.62221143199535
2,"hier_rpart",4.26267987704132,3.70621424947188
2,"hier_rpart",1.6094379124341,2.62221143199535
2,"hier_rpart",2.70805020110221,3.70621424947188
2,"hier_rpart",2.94443897916644,2.62221143199535
2,"hier_rpart",3.09104245335832,3.70621424947188
2,"hier_rpart",4.26267987704132,3.70621424947188
2,"hier_rpart",1.94591014905531,2.22740668891514
2,"hier_rpart",2.07944154167984,2.22740668891514
2,"hier_rpart",2.07944154167984,2.62221143199535
2,"hier_rpart",2.56494935746154,2.22740668891514
