"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"rf",1,1.62334081760309,1.77805051747477,120.5397799,-28.46802619,NA,NA,NA,NA
"rf",1,2.70805020110221,2.43882360590853,120.5529899,-28.46445618,NA,NA,NA,NA
"rf",1,2.01490302054226,2.25079889640878,120.53735,-28.45540618,NA,NA,NA,NA
"rf",1,2.83321334405622,3.15759511740646,120.1262801,-28.42503631,NA,NA,NA,NA
"rf",1,3.40119738166216,2.89391816577603,120.2926098,-28.42103616,NA,NA,NA,NA
"rf",1,3.68887945411394,2.97869387374365,120.38929,-28.4118062,NA,NA,NA,NA
"rf",1,2.39789527279837,2.74201801561511,120.7724398,-28.39545615,NA,NA,NA,NA
"rf",1,2.484906649788,2.76875983960958,120.6818299,-28.39466614,NA,NA,NA,NA
"rf",1,2.56494935746154,2.95897220866548,120.33861,-28.37845617,NA,NA,NA,NA
"rf",1,3.46573590279973,2.42743804712733,120.5491799,-28.36575613,NA,NA,NA,NA
"rf",1,2.94443897916644,2.77355237557723,120.6413799,-28.36231613,NA,NA,NA,NA
"rf",1,2.99573227355399,2.61674408164385,120.47469,-28.34894615,NA,NA,NA,NA
"rf",1,1.48160454092422,2.28870042513296,121.08417,-28.32619642,NA,NA,NA,NA
"rf",1,2.07944154167984,2.40172734322673,120.40505,-28.31949616,NA,NA,NA,NA
"rf",1,2.83321334405622,2.9183808058184,120.7122899,-28.31584612,NA,NA,NA,NA
"rf",1,3.17805383034795,2.86250072439035,120.2131801,-28.3140863,NA,NA,NA,NA
"rf",1,3.2188758248682,2.88479135959429,120.12238,-28.3089463,NA,NA,NA,NA
"rf",1,3.04452243772342,2.85807611285605,120.1641701,-28.3073763,NA,NA,NA,NA
"rf",1,4.00733318523247,2.85158007923717,120.7967799,-28.30736615,NA,NA,NA,NA
"rf",1,1.09861228866811,2.34700087533079,121.0975498,-28.29951669,NA,NA,NA,NA
"rf",1,1.56861591791385,2.08578078917408,121.19338,-28.29745642,NA,NA,NA,NA
"rf",1,3.04452243772342,2.82183316066388,120.6147199,-28.29675612,NA,NA,NA,NA
"rf",1,2.16332302566054,2.90653146564683,120.8063199,-28.28943617,NA,NA,NA,NA
"rf",1,1.38629436111989,1.74661218045859,120.47154,-28.27409614,NA,NA,NA,NA
"rf",1,1.6094379124341,1.62678923155101,120.47018,-28.27402614,NA,NA,NA,NA
"rf",1,1.09861228866811,1.73257444504184,120.47041,-28.27397614,NA,NA,NA,NA
"rf",1,1.94591014905531,1.74355599483594,120.47138,-28.27375614,NA,NA,NA,NA
"rf",1,1.6094379124341,1.75753405176379,120.47467,-28.27344614,NA,NA,NA,NA
"rf",1,1.94591014905531,1.62141764453025,120.47613,-28.27325614,NA,NA,NA,NA
