"k","model","o","p"
2,"hier_rf",2.63905732961526,3.15060288229755
2,"hier_rf",2.99573227355399,3.19024984131716
2,"hier_rf",3.78418963391826,3.00072874218331
2,"hier_rf",2.39789527279837,3.44829329339256
2,"hier_rf",2.63905732961526,2.72373935837312
2,"hier_rf",4.56434819146784,4.09554353394602
2,"hier_rf",4.23410650459726,2.96813591515195
2,"hier_rf",4.64439089914137,4.21636883883751
2,"hier_rf",4.96284463025991,4.21636883883751
2,"hier_rf",3.17805383034795,3.04909477940266
2,"hier_rf",3.36729582998647,3.01533589314652
2,"hier_rf",3.09104245335832,2.95522455482182
2,"hier_rf",4.06044301054642,3.86064244010414
2,"hier_rf",3.87120101090789,3.31851777614724
2,"hier_rf",3.68887945411394,3.13323262203038
2,"hier_rf",3.29583686600433,3.94149690188946
2,"hier_rf",4.43081679884331,3.75532197301485
2,"hier_rf",4.96284463025991,4.08195549045895
2,"hier_rf",3.40119738166216,3.41797114226244
2,"hier_rf",3.63758615972639,3.51692373988911
2,"hier_rf",3.3322045101752,3.04140008138219
2,"hier_rf",1.6094379124341,3.64541157204294
2,"hier_rf",3.78418963391826,3.19095553450942
2,"hier_rf",2.77258872223978,2.94070085103766
2,"hier_rf",3.17805383034795,3.98762968359576
2,"hier_rf",4.11087386417331,3.74550243470542
2,"hier_rf",3.17805383034795,2.71913176879408
2,"hier_rf",2.07944154167984,2.82177572229005
2,"hier_rf",1.79175946922805,3.51433265694649
2,"hier_rf",3.68887945411394,3.24758972161488
2,"hier_rf",2.83321334405622,3.07361721009353
2,"hier_rf",4.29045944114839,4.33573028561769
2,"hier_rf",2.484906649788,2.81241230356575
2,"hier_rf",4.77068462446567,4.55066241566849
2,"hier_rf",4.75359019110636,4.55213735102271
2,"hier_rf",3.98898404656427,4.33024112329417
2,"hier_rf",4.11087386417331,3.48130966290766
2,"hier_rf",3.25809653802148,3.06053390142238
2,"hier_rf",3.52636052461616,3.15283479964628
2,"hier_rf",3.58351893845611,3.64084014572057
2,"hier_rf",4.79579054559674,3.94914190379512
2,"hier_rf",4.26267987704132,4.60802850806762
2,"hier_rf",3.98898404656427,4.4895817574161
2,"hier_rf",4.35670882668959,4.38417459657979
2,"hier_rf",2.83321334405622,3.28926965363144
2,"hier_rf",2.99573227355399,3.10068031742657
2,"hier_rf",3.66356164612965,3.18538315389185
2,"hier_rf",3.46573590279973,3.31218315794205
2,"hier_rf",2.30258509299405,3.03061779161204
2,"hier_rf",4.34963256686288,3.83085392763972
2,"hier_rf",4.70048036579242,3.25734918378599
2,"hier_rf",4.60517018598809,4.57087644221107
2,"hier_rf",2.07944154167984,2.9476909494727
2,"hier_rf",2.07944154167984,2.95329257184601
2,"hier_rf",3.44998754583159,4.34601748426951
2,"hier_rf",3.25809653802148,3.39863729871698
2,"hier_rf",4.18965474202643,3.64928715563397
2,"hier_rf",3.36729582998647,3.59007177097502
2,"hier_rf",2.89037175789616,3.48588054617173
2,"hier_rf",2.77258872223978,3.39694381659054
2,"hier_rf",3.3322045101752,3.21900962868349
2,"hier_rf",3.91202300542815,2.96179156922516
2,"hier_rf",2.77258872223978,3.43006575306968
2,"hier_rf",3.2188758248682,2.83169415508333
2,"hier_rf",3.40119738166216,3.58363773565194
2,"hier_rf",3.97029191355212,4.34299650400878
2,"hier_rf",2.07944154167984,2.43844012546743
2,"hier_rf",1.09861228866811,3.00550134552047
2,"hier_rf",3.40119738166216,3.61303505197563
2,"hier_rf",3.04452243772342,3.09892783968806
2,"hier_rf",2.77258872223978,3.02024530950634
2,"hier_rf",4.93447393313069,3.81422624080139
2,"hier_rf",5.04985600724954,4.24903960713902
2,"hier_rf",3.71357206670431,2.51669108365547
2,"hier_rf",4.59511985013459,4.54519558847074
2,"hier_rf",3.87120101090789,4.57203179387485
2,"hier_rf",4.33073334028633,4.28412033877895
2,"hier_rf",4.23410650459726,4.33499806603358
2,"hier_rf",4.06044301054642,3.73099066842279
2,"hier_rf",4.53259949315326,4.3488301871601
2,"hier_rf",4.35670882668959,4.3488301871601
2,"hier_rf",4.60517018598809,4.4238301413246
2,"hier_rf",3.63758615972639,3.79716497245253
2,"hier_rf",4.26267987704132,4.39446013756735
2,"hier_rf",4.00733318523247,3.66926824272304
2,"hier_rf",3.98898404656427,2.82986076904909
2,"hier_rf",4.0943445622221,3.70283625453462
2,"hier_rf",2.77258872223978,3.36880742545146
2,"hier_rf",2.89037175789616,3.66189638529021
2,"hier_rf",1.94591014905531,2.408032878176
2,"hier_rf",4.77912349311153,4.02864625198737
2,"hier_rf",3.09104245335832,2.8149668683052
2,"hier_rf",2.30258509299405,2.76101769856148
2,"hier_rf",3.2188758248682,3.83440515489056
2,"hier_rf",3.29583686600433,2.96776638560431
2,"hier_rf",4.14313472639153,3.76416803187816
2,"hier_rf",3.04452243772342,2.83171095185036
2,"hier_rf",3.55534806148941,3.51907302552468
2,"hier_rf",4.55387689160054,3.89104216996148
2,"hier_rf",4.17438726989564,3.97034702459006
2,"hier_rf",4.67282883446191,3.68937672736116
2,"hier_rf",3.98898404656427,3.82714677804876
2,"hier_rf",4.38202663467388,3.76895401252536
2,"hier_rf",5.12989871492307,3.81906275744719
2,"hier_rf",3.66356164612965,3.11964820083606
2,"hier_rf",4.4188406077966,3.90364576050047
2,"hier_rf",3.52636052461616,3.94505002670535
2,"hier_rf",4.67282883446191,4.50239174344609
2,"hier_rf",2.484906649788,3.04798731327539
2,"hier_rf",2.70805020110221,3.31696493448275
2,"hier_rf",3.25809653802148,3.22289952959301
2,"hier_rf",1.79175946922805,3.39286413443853
2,"hier_rf",4.15888308335967,3.46435205141331
2,"hier_rf",4.34380542185368,3.71955287509383
2,"hier_rf",3.46573590279973,3.64234911300967
2,"hier_rf",2.07944154167984,2.84591322380946
2,"hier_rf",4.47733681447821,3.46466810753591
2,"hier_rf",2.07944154167984,2.6961054386824
2,"hier_rf",3.40119738166216,3.09899442590786
2,"hier_rf",2.70805020110221,3.02249501376711
2,"hier_rf",2.89037175789616,2.91029900104177
