"o","p","region","k","model"
2.99573227355399,3.37916479859832,"3.17653105456858",2,"STK"
1.94591014905531,2.263838515512,"2.22740668891514",2,"STK"
2.63905732961526,3.01096233285342,"3.17653105456858",2,"STK"
4.86753445045558,3.49492237135366,"3.17653105456858",2,"STK"
1.38629436111989,2.24443478458956,"2.22740668891514",2,"STK"
2.39789527279837,3.32743619402964,"3.17653105456858",2,"STK"
5.28066243130932,3.47974107028361,"3.17653105456858",2,"STK"
3.97029191355212,3.43058268434914,"3.17653105456858",2,"STK"
1.94591014905531,2.26573078276069,"2.22740668891514",2,"STK"
2.94443897916644,3.42522001584873,"3.17653105456858",2,"STK"
2.07944154167984,3.23285319571979,"3.17653105456858",2,"STK"
1.6094379124341,2.99475605974799,"3.17653105456858",2,"STK"
1.6094379124341,3.43646391530389,"3.17653105456858",2,"STK"
2.39789527279837,2.28035176079513,"2.22740668891514",2,"STK"
0.182321556793955,2.2883293865985,"2.22740668891514",2,"STK"
3.76120011569356,3.27669977585089,"3.17653105456858",2,"STK"
2.484906649788,2.96590175815894,"3.17653105456858",2,"STK"
2.63905732961526,2.42541634002932,"2.22740668891514",2,"STK"
2.94443897916644,2.37011818665553,"2.22740668891514",2,"STK"
-0.510825623765991,2.42475975016397,"2.22740668891514",2,"STK"
2.99573227355399,3.08993316618351,"3.17653105456858",2,"STK"
4.26267987704132,3.32557322635408,"3.17653105456858",2,"STK"
1.6094379124341,2.78272017051684,"3.17653105456858",2,"STK"
2.70805020110221,3.15463828088251,"3.17653105456858",2,"STK"
2.94443897916644,2.64080589593887,"3.17653105456858",2,"STK"
3.09104245335832,3.26707686675378,"3.17653105456858",2,"STK"
4.26267987704132,3.32788762056268,"3.17653105456858",2,"STK"
1.94591014905531,2.2740266244854,"2.22740668891514",2,"STK"
2.07944154167984,2.2692518441615,"2.22740668891514",2,"STK"
2.07944154167984,3.13609898544193,"3.17653105456858",2,"STK"
2.56494935746154,2.47903093051964,"2.22740668891514",2,"STK"
2.39789527279837,3.13041707090891,"3.17653105456858",2,"STK"
1.79175946922805,2.48060387838817,"2.22740668891514",2,"STK"
1.79175946922805,2.37477509278108,"2.22740668891514",2,"STK"
2.77258872223978,2.96128294874598,"3.17653105456858",2,"STK"
1.79175946922805,2.9217803987028,"3.17653105456858",2,"STK"
2.484906649788,2.46404144831882,"3.17653105456858",2,"STK"
1.6094379124341,2.38432065755462,"2.22740668891514",2,"STK"
2.63905732961526,2.3510912060113,"2.22740668891514",2,"STK"
2.07944154167984,2.64895678247547,"3.17653105456858",2,"STK"
