"o","p","region","k","model"
4.17438726989564,3.71932786852904,"3.63051689911597",2,"STK"
3.20558793054127,3.78260231032081,"3.63051689911597",2,"STK"
2.63905732961526,2.9205775743052,"3.63051689911597",2,"STK"
2.484906649788,3.01385796132382,"2.96704993909177",2,"STK"
2.77258872223978,2.95139242982221,"2.96704993909177",2,"STK"
4.15888308335967,3.5601363421403,"3.63051689911597",2,"STK"
3.09104245335832,3.06810774158716,"2.96704993909177",2,"STK"
4.47163879336357,3.46314526501824,"3.63051689911597",2,"STK"
3.71357206670431,2.96765989020216,"3.63051689911597",2,"STK"
3.71357206670431,3.42559332618797,"3.63051689911597",2,"STK"
2.99573227355399,3.32624314469531,"3.63051689911597",2,"STK"
2.484906649788,2.9923269668598,"2.96704993909177",2,"STK"
3.2188758248682,3.04507939642988,"2.96704993909177",2,"STK"
3.66356164612965,3.35924741622482,"3.63051689911597",2,"STK"
3.09104245335832,3.11351841542702,"2.96704993909177",2,"STK"
2.83321334405622,3.11721580606845,"2.96704993909177",2,"STK"
2.83321334405622,3.08559307146619,"2.96704993909177",2,"STK"
2.83321334405622,3.10976789473276,"2.96704993909177",2,"STK"
2.99573227355399,3.09082894466769,"3.63051689911597",2,"STK"
3.29583686600433,3.09897650261108,"2.96704993909177",2,"STK"
3.29583686600433,3.08056392964504,"2.96704993909177",2,"STK"
3.17805383034795,3.1065762319502,"2.96704993909177",2,"STK"
3.29583686600433,3.22629469402248,"3.63051689911597",2,"STK"
3.63758615972639,3.744165069614,"3.83111133596462",3,"STK"
5.37063802812766,3.10059430637507,"2.96704993909177",3,"STK"
3.40119738166216,3.69779432722591,"3.83111133596462",3,"STK"
2.99573227355399,3.0936125605668,"2.96704993909177",3,"STK"
3.52636052461616,3.17438908858544,"2.96704993909177",3,"STK"
2.19722457733622,3.744165069614,"3.83111133596462",3,"STK"
3.40119738166216,3.19365849776259,"2.96704993909177",3,"STK"
3.25809653802148,3.06193466741563,"2.96704993909177",3,"STK"
3.40119738166216,3.05475185375274,"2.96704993909177",3,"STK"
3.46573590279973,3.19263131744782,"2.96704993909177",3,"STK"
3.61091791264422,3.744165069614,"3.83111133596462",3,"STK"
3.52636052461616,3.0392509360348,"2.96704993909177",3,"STK"
2.89037175789616,3.05556562062621,"2.96704993909177",3,"STK"
2.77258872223978,3.744165069614,"3.83111133596462",3,"STK"
2.89037175789616,3.20873314943659,"2.96704993909177",3,"STK"
3.8286413964891,3.744165069614,"3.83111133596462",3,"STK"
2.89037175789616,3.03277368756365,"2.96704993909177",3,"STK"
2.63905732961526,3.20751862510892,"3.36163499440395",3,"STK"
4.28358656186063,3.45580502149724,"3.36163499440395",3,"STK"
3.17805383034795,3.00107031775671,"2.96704993909177",3,"STK"
2.70805020110221,3.50755541086963,"3.36163499440395",3,"STK"
4.31748811353631,3.50794088158799,"3.36163499440395",3,"STK"
2.77258872223978,3.41611535333739,"3.36163499440395",3,"STK"
3.17805383034795,3.3027983491542,"3.36163499440395",3,"STK"
3.09104245335832,3.744165069614,"3.83111133596462",3,"STK"
1.94591014905531,3.49761399780117,"3.36163499440395",3,"STK"
2.63905732961526,3.80958889760303,"3.36163499440395",3,"STK"
2.99573227355399,3.00998980509427,"2.96704993909177",3,"STK"
3.78418963391826,3.744165069614,"3.83111133596462",3,"STK"
2.39789527279837,3.05219491112476,"3.36163499440395",3,"STK"
