NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
291,-28.11665,121.03959,66,regolith,RE,11.4005,6.5441,482.7689112,0.248108055,67.122714,0.117132277,0.16999,7.260556676,2.839622894,1.631438622,0.835660491,5.633449654
292,-28.11621,120.45228,38,regolith,RE,0.5889,0.6516,456.0916899,0.458581316,218.0579342,0.198302435,0.1759,15.541498,1.013468303,3.661002061,0.852789469,5.715019416
293,-28.11420,121.09840,30,regolith,RE,6.8398,11.3764,470.2424396,0.107361499,11.82066235,0.264156986,0.16999,10.4278783,8.550634222,6.102786085,0.776354999,5.695282775
294,-28.11298,120.81554,37,high grade metamorphic rock,HGMR,3.1228,6.1787,526.2271326,0.281162233,124.6011407,0.631222296,0.20023,8.361006494,8.361006494,16.60601966,0.927840541,5.463750888
295,-28.11290,120.56585,78,igneous mafic volcanic,IMV,0.0000,1.6899,510.9520709,0.409131551,266.2687926,0.086794035,0.16872,13.60023306,3.070270942,3.642332582,0.832660277,5.461997219
296,-28.11217,120.56659,77,igneous mafic volcanic,IMV,0.0000,1.6187,510.9520709,0.409131551,266.2687926,0.086794035,0.16872,13.60023306,3.070270942,3.642332582,0.832660277,5.461997219
297,-28.11187,120.56709,73,igneous mafic volcanic,IMV,0.0000,1.5695,510.9520709,0.409131551,266.2687926,0.086794035,0.16872,13.60023306,3.070270942,3.642332582,0.832660277,5.461997219
298,-28.11098,120.56841,88,igneous mafic volcanic,IMV,0.0000,1.4484,512.9548908,0.200954818,191.9222984,0.339578803,0.16997,13.75406024,3.266706952,4.060204492,0.857659955,5.372518304
299,-28.11062,120.19767,12,regolith,RE,28.6284,23.9374,468.0207011,0.351750859,244.564684,0.170045731,0.15451,17.19670519,17.19670519,18.10090027,0.850537762,5.831506993
300,-28.11061,120.57024,83,igneous mafic volcanic,IMV,0.0000,1.2666,512.9548908,0.200954818,191.9222984,0.339578803,0.16997,13.75406024,3.266706952,4.060204492,0.857659955,5.372518304
301,-28.11052,120.57092,82,igneous mafic volcanic,IMV,0.0000,1.1992,509.3559331,0.656686378,297.9621905,0.25065829,0.16875,12.77280049,2.267045659,3.247565984,0.876819943,5.375163615
302,-28.11048,120.48956,76,igneous mafic volcanic,IMV,0.0000,2.9282,473.5102173,0.447095717,212.3749968,0.253012041,0.15606,13.7687948,1.543087513,0.681796552,0.896887403,5.685280117
303,-28.11041,120.90658,15,regolith,RE,5.3536,1.6539,502.4641947,0.31891369,188.0918749,2.004739047,0.2061,0.144801782,0.144801782,6.654073308,0.916693811,5.351929075
