"o","p","region","k","model"
3.04452243772342,3.0688837410812,"2.83125509445449",3,"STK"
4.00733318523247,2.3045216848524,"2.1776407484251",3,"STK"
1.09861228866811,2.13063041269195,"2.1776407484251",3,"STK"
1.56861591791385,2.10621090137429,"2.1776407484251",3,"STK"
3.04452243772342,2.30774846394898,"2.1776407484251",3,"STK"
2.16332302566054,2.30103178287034,"2.1776407484251",3,"STK"
1.38629436111989,2.19677716858582,"2.1776407484251",3,"STK"
1.6094379124341,2.19593989974662,"2.1776407484251",3,"STK"
1.09861228866811,2.19605359744151,"2.1776407484251",3,"STK"
1.94591014905531,2.196554404774,"2.1776407484251",3,"STK"
1.6094379124341,2.19846032311433,"2.1776407484251",3,"STK"
1.94591014905531,2.19935693717465,"2.1776407484251",3,"STK"
1.79175946922805,2.19937821036677,"2.1776407484251",3,"STK"
2.99573227355399,2.26359594297857,"2.1776407484251",3,"STK"
2.56494935746154,2.22381341437914,"2.1776407484251",3,"STK"
2.83321334405622,2.20189236189718,"2.1776407484251",3,"STK"
2.89037175789616,2.2986506461071,"2.1776407484251",3,"STK"
2.99573227355399,2.32494926697155,"2.1776407484251",3,"STK"
3.3322045101752,2.20037090561695,"2.1776407484251",3,"STK"
2.70805020110221,2.79224929281641,"2.83125509445449",3,"STK"
2.89037175789616,2.2852152219556,"2.1776407484251",3,"STK"
2.89037175789616,2.24099069671157,"2.1776407484251",3,"STK"
2.56494935746154,2.32479645288669,"2.1776407484251",3,"STK"
2.56494935746154,2.87743311262588,"2.83125509445449",3,"STK"
2.99573227355399,2.31470561537127,"2.1776407484251",3,"STK"
2.39789527279837,2.3027036833353,"2.1776407484251",3,"STK"
2.94443897916644,2.90018995818582,"2.83125509445449",3,"STK"
2.94443897916644,2.21989348167491,"2.1776407484251",3,"STK"
3.09104245335832,2.30803473609574,"2.1776407484251",3,"STK"
2.39789527279837,2.31286004754113,"2.1776407484251",3,"STK"
2.10413415427021,2.24910681330627,"2.1776407484251",3,"STK"
3.09104245335832,2.14553541787331,"2.1776407484251",3,"STK"
2.14006616349627,3.00299881061051,"2.83125509445449",3,"STK"
2.39789527279837,3.02062848994151,"2.83125509445449",3,"STK"
2.70805020110221,2.95410307079003,"2.83125509445449",3,"STK"
1.22377543162212,2.29760169577693,"2.1776407484251",3,"STK"
0.955511445027436,2.2851497501158,"2.1776407484251",3,"STK"
3.01993696225081,2.12035532056154,"2.1776407484251",3,"STK"
0.693147180559945,2.19375453924202,"2.1776407484251",3,"STK"
0.693147180559945,2.19819891989019,"2.1776407484251",3,"STK"
1.79175946922805,2.19935316855683,"2.1776407484251",3,"STK"
2.30258509299405,2.12405347946871,"2.1776407484251",3,"STK"
2.56494935746154,2.22747384625443,"2.1776407484251",3,"STK"
2.484906649788,2.29969102582286,"2.1776407484251",3,"STK"
3.3322045101752,2.29158813596342,"2.1776407484251",3,"STK"
2.99573227355399,2.96723967372187,"2.83125509445449",3,"STK"
2.30258509299405,2.18841021639562,"2.1776407484251",3,"STK"
2.02814824729229,2.2879956894854,"2.1776407484251",3,"STK"
1.6094379124341,2.10421078340329,"2.1776407484251",3,"STK"
1.09861228866811,2.09089774897297,"2.1776407484251",3,"STK"
0.693147180559945,2.088277001843,"2.1776407484251",3,"STK"
1.38629436111989,2.08775612178179,"2.1776407484251",3,"STK"
2.23001440015921,2.13445468953319,"2.1776407484251",3,"STK"
2.70805020110221,3.02138310395017,"2.83125509445449",3,"STK"
2.56494935746154,2.95618717238422,"2.83125509445449",3,"STK"
1.90210752639692,2.25584786326585,"2.1776407484251",3,"STK"
3.09104245335832,2.25353342931305,"2.1776407484251",3,"STK"
1.90210752639692,2.18286097861558,"2.1776407484251",3,"STK"
2.77258872223978,2.23574094426594,"2.1776407484251",3,"STK"
2.89037175789616,2.07383294318659,"2.1776407484251",3,"STK"
2.83321334405622,2.27745864786041,"2.1776407484251",3,"STK"
3.25809653802148,2.2069076335345,"2.1776407484251",3,"STK"
1.70474809223843,2.09133147245086,"2.1776407484251",3,"STK"
2.01490302054226,2.12120841478856,"2.1776407484251",3,"STK"
3.17805383034795,2.22468286563466,"2.1776407484251",3,"STK"
2.63905732961526,2.18825196795802,"2.1776407484251",3,"STK"
3.31054301339402,2.07167872749765,"2.1776407484251",3,"STK"
2.89037175789616,2.8597864683849,"2.83125509445449",3,"STK"
2.18605127673809,2.25135286660434,"2.1776407484251",3,"STK"
2.42745407503992,2.08636892110749,"2.1776407484251",3,"STK"
3.25809653802148,3.08618853297905,"2.83125509445449",3,"STK"
2.36743606531366,2.85457335494862,"2.83125509445449",3,"STK"
2.484906649788,2.25331540758274,"2.1776407484251",3,"STK"
2.07944154167984,2.06420973610824,"2.1776407484251",3,"STK"
3.7635229971097,3.0204358288942,"2.83125509445449",3,"STK"
2.47653840011748,2.05177362255985,"2.1776407484251",3,"STK"
1.11514159061932,2.05152000595575,"2.1776407484251",3,"STK"
3.8458832029236,2.83777419312264,"2.83125509445449",3,"STK"
3.43559880837949,2.05586032164551,"2.1776407484251",3,"STK"
