,NewID,DLAT,DLONG,Pb_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH,y
853,876,-27.49252647,120.5703401,7.44,sedimentary siliciclastic,SS,0,1.0088,514.1157748,0.352628073,209.5901008,0.793445588,0.13803,3.410872206,3.410872206,1.914125238,0.772614282,5.641885376,2.006870849
854,877,-27.48960647,120.5404601,33,igneous mafic intrusive,IMI,2.1875,1.3357,499.5729425,0.282676529,229.5531012,0.498950551,0.16453,0.455759502,0.455759502,0.810522163,0.829103842,5.788029704,3.496507561
855,878,-27.48811645,120.1720701,15,regolith,RE,0.7985,20.5244,544.8341435,0.439435303,58.23784811,2.109544894,0.18202,39.1021274,16.61985633,38.69813888,0.906649144,5.536068434,2.708050201
856,879,-27.48665648,120.6334001,23,regolith,RE,0.957,2.7531,512.6112448,0.258522394,187.9222964,0.158207825,0.16961,10.43360192,10.43360192,4.533820546,0.820617298,5.852107461,3.135494216
857,880,-27.48262645,120.7717301,27,igneous felsic intrusive,IFI,0,17.9276,536.8286664,0.403158879,116.6214772,0.421310534,0.17913,25.20039591,16.42098972,17.22970754,0.810789621,5.73968144,3.295836866
858,881,-27.48202648,120.4703701,17,regolith,RE,8.1998,9.118,484.5628041,0.202233283,256.7576572,3.086014252,0.18532,7.031637858,7.031637858,6.629128958,0.888558649,6.037841814,2.833213344
859,882,-27.48179648,120.2120101,21,igneous felsic intrusive,IFI,0,18.4361,511.0793361,0.291150655,108.9942682,0.23511249,0.19945,35.1461881,19.93492109,34.78757722,0.936780093,5.703688578,3.044522438
860,883,-27.4783964,120.8176001,22,regolith,RE,0.4682,22.9809,527.0053486,0.366836736,136.0825759,0.122130444,0.16877,30.28502697,12.69742684,14.41278364,0.781849768,5.726949565,3.091042453
861,884,-27.47439643,120.7877601,27,igneous felsic intrusive,IFI,0,19.8731,532.0353288,0.333518526,168.1848263,0.046158516,0.16691,27.31250756,15.17389261,17.29802216,0.795751332,5.690977721,3.295836866
862,885,-27.46933649,120.6093001,13,igneous felsic intrusive,IFI,0,0.6154,525.1423273,0.599988348,132.2698104,0.659897292,0.15824,8.042855488,7.919312559,3.122325523,0.788418033,5.563317093,2.564949357
863,886,-27.46858649,120.5620401,15,regolith,RE,0.3136,0.4504,516.0137288,0.310913291,291.1819149,0.166606871,0.15509,3.113118604,3.113118604,0.770205886,0.80206337,5.815344867,2.708050201
864,887,-27.46645665,120.4030901,12,regolith,RE,11.8983,16.7305,476.127459,0.063903936,132.93246,0.670997491,0.18677,14.44555558,14.44555558,14.12872714,0.855336139,5.716146996,2.48490665
865,888,-27.46625649,120.5143301,29,regolith,RE,3.2924,4.8373,501.7407228,0.228212924,239.710331,2.018250509,0.19101,1.86805,1.86805,1.769482576,0.825572993,6.118697715,3.36729583
866,889,-27.46595651,120.6571702,21,igneous felsic intrusive,IFI,0,5.8116,523.452352,0.357672668,155.0210766,0.514685117,0.15709,12.87913056,12.83168484,7.100003152,0.798228619,5.722258259,3.044522438
867,890,-27.46582646,120.1646701,15,regolith,RE,0.1627,22.9296,541.9213908,0.414654358,66.82347081,0.074317361,0.17388,39.6880804,14.63850985,39.33864114,0.859310677,5.68671027,2.708050201
868,891,-27.46185648,120.7222301,40,regolith,RE,0.3289,12.9026,538.8525977,0.468831077,233.198192,0.152913974,0.16239,20.86807217,20.86807217,11.40213073,0.7833654,5.580145044,3.688879454
869,892,-27.46175649,120.5621601,27,regolith,RE,1.028,0.4507,515.0961593,0.270200109,238.221175,0.046697858,0.15747,3.200305191,3.200305191,1.667861283,0.811534557,5.826634856,3.295836866
870,893,-27.45986653,120.2739801,14,regolith,RE,2.6615,18.4613,484.3537655,0.218859323,83.72139447,3.118893138,0.1882,27.75137985,17.81653146,27.33107168,0.910299369,5.851926308,2.63905733
871,894,-27.45902652,120.3269701,8,regolith,RE,8.4668,18.6823,476.4375158,0.091056114,132.0068091,0.013126554,0.15913,21.89334693,17.74531218,21.44602161,0.87311711,5.887262283,2.079441542
872,895,-27.45849656,120.3660601,8,regolith,RE,11.6616,19.9768,476.136814,0.052849942,126.6223071,0,0.1446,17.98634594,17.37815851,17.5659164,0.925700468,5.874952114,2.079441542
873,896,-27.45834643,120.1114901,8,regolith,RE,1.8691,27.6356,532.9419811,0.408144032,37.26928896,2.391122567,0.16609,45.36491029,9.430847909,44.80816123,0.908934289,5.71597645,2.079441542
874,897,-27.45527649,120.2388001,12,igneous felsic intrusive,IFI,0,19.8683,502.3247549,0.377342614,104.2768546,0.260965236,0.16529,31.65929914,18.24451945,31.27871326,0.89798998,5.604949323,2.48490665
875,898,-27.45329649,120.5912301,14,igneous mafic volcanic,IMV,1.3002,0.6446,532.1398378,0.374456808,159.453021,0.127582262,0.15719,6.189215695,6.189215695,1.114950375,0.816738269,5.702110576,2.63905733
876,899,-27.44921663,120.4348501,13,regolith,RE,9.9826,13.7181,480.714164,0.206328259,217.677027,4.701174653,0.17789,10.00852671,10.00852671,9.663883003,0.866040111,5.988988063,2.564949357
877,900,-27.44706649,120.5764001,5.2,regolith,RE,0.882,1.909,522.475281,0.384171546,235.3749682,0.219841087,0.15855,4.284307112,4.284307112,0.841938026,0.840246395,5.662853707,1.648658626
878,901,-27.4460465,120.2016301,7,regolith,RE,2.0846,22.4603,518.1819937,0.457833798,120.3345723,1.911699304,0.17996,35.3702496,16.74361292,34.98629814,0.933999679,5.650311197,1.945910149
879,902,-27.44491649,120.6830401,24,regolith,RE,0.4941,9.1979,528.6828582,0.290013163,184.6394401,0.000982051,0.16912,16.23821738,16.16545845,6.945117722,0.853612383,5.748598202,3.17805383
880,903,-27.44294631,120.84227,26,regolith,RE,0.4561,26.385,533.6949049,0.264803107,152.8642781,0.000780185,0.19958,33.95912135,10.98799831,10.21122656,0.845463073,5.904931164,3.258096538
881,904,-27.44017649,120.5241001,31,regolith,RE,0.9345,4.3038,512.8920282,0.333122638,235.1686663,0.278076478,0.16498,0.608323678,0.608323678,0.521699358,0.802021148,5.921530761,3.433987204
882,905,-27.4303765,120.4934501,20,regolith,RE,3.1512,7.8469,505.1464114,0.306902259,223.6515617,3.282903084,0.19643,3.684280839,3.684280839,3.387495609,0.801738694,5.914555456,2.995732274
883,906,-27.4294265,120.5792601,34,regolith,RE,1.0096,1.0096,532.4989742,0.323782688,273.7682125,0.265361186,0.15186,5.458281149,5.458281149,0.599459587,0.832418049,5.766120619,3.526360525
884,907,-27.42449633,120.81154,33,regolith,RE,0.3002,23.5355,548.5655884,0.313423884,130.9500919,0.36481878,0.18976,31.44373964,14.53095056,12.59723361,0.817073277,5.718708582,3.496507561
885,908,-27.42437653,120.2492301,26,igneous felsic intrusive,IFI,0,22.8447,495.7413035,0.501494664,82.08283175,0.226810213,0.17231,29.8576707,14.12581272,29.2928138,0.809312947,5.853577869,3.258096538
886,909,-27.42165648,120.1205901,8,regolith,RE,4.5102,29.8346,513.084905,0.268010045,16.88443558,3.916193961,0.17431,43.41283818,7.815726855,42.86107073,0.922286298,5.725832881,2.079441542
887,910,-27.4208865,120.5708601,25.63,meta-igneous mafic/ultramafic volcanic,MIMU,0.2194,1.2095,534.2175784,0.633201324,138.0160079,0.153071401,0.155,4.693980176,4.693980176,1.97022386,0.788125884,5.477669392,3.24376354
888,911,-27.42060642,120.7335601,14,regolith,RE,2.292,15.3513,553.7011568,0.359251724,310.525018,2.148862346,0.18369,22.47842542,22.47842542,10.7654408,0.876417868,5.90106802,2.63905733
889,912,-27.41992647,120.6414101,15,regolith,RE,2.8476,5.9106,538.579833,0.357490138,317.2382544,2.890875085,0.19197,12.52848918,12.52848918,2.329630273,0.905822969,5.638206876,2.708050201
890,913,-27.41733664,120.3611401,13,regolith,RE,10.5906,22.3177,476.1788598,0.088288856,207.6444372,0,0.15064,17.12928729,13.37888538,16.8933551,0.930159796,5.868867515,2.564949357
891,914,-27.41621663,120.4401501,14,regolith,RE,7.4029,13.566,493.3428484,0.277117399,218.9588348,1.9340698,0.17707,9.098843257,9.098843257,8.831596811,0.795047318,5.902704968,2.63905733
892,915,-27.41060668,120.3800901,35,regolith,RE,8.747,20.1788,479.1976169,0.139250676,213.0247092,0.282999739,0.19058,14.97735594,12.54520351,14.81039428,0.863434025,5.821161852,3.555348061
