"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,2.07944154167984,2.72714396302433,120.67385,-27.93404,NA,NA,NA,NA
"lm",1,2.19722457733622,2.45663594932352,120.44603,-27.9164,NA,NA,NA,NA
"lm",1,4.68213122712422,3.87551401786644,121.09295,-27.91439,NA,NA,NA,NA
"lm",1,2.484906649788,1.82129729971906,120.17851,-27.90541,NA,NA,NA,NA
"lm",1,3.09104245335832,2.76101855597935,120.47524,-27.89485,NA,NA,NA,NA
"lm",1,3.13549421592915,3.80329832960304,121.18603,-27.89474,NA,NA,NA,NA
"lm",1,2.484906649788,2.6912377225978,120.3527,-27.88632,NA,NA,NA,NA
"lm",1,3.13549421592915,3.04759342031377,120.74867,-27.86692,NA,NA,NA,NA
"lm",1,2.63905732961526,3.91877131825543,121.13314,-27.86637,NA,NA,NA,NA
"lm",1,3.87120101090789,3.36350929837639,120.71877,-27.86375,NA,NA,NA,NA
"lm",1,5.01727983681492,3.90977695055618,121.04074,-27.86278,NA,NA,NA,NA
"lm",1,4.29045944114839,3.95090489527146,121.0594,-27.85725,NA,NA,NA,NA
"lm",1,2.94443897916644,3.10305246978907,120.49002,-27.85414,NA,NA,NA,NA
"lm",1,4.30406509320417,4.24588167782036,121.12594,-27.8494,NA,NA,NA,NA
"lm",1,3.87120101090789,3.88141217520413,121.15829,-27.84661,NA,NA,NA,NA
"lm",1,2.83321334405622,4.12518327287683,121.08848,-27.84536,NA,NA,NA,NA
"lm",1,2.56494935746154,2.37517507925152,120.40922,-27.84319,NA,NA,NA,NA
"lm",1,3.76120011569356,3.80024234768738,121.02362,-27.82987,NA,NA,NA,NA
"lm",1,3.87120101090789,3.61856819781413,120.57051,-27.82448,NA,NA,NA,NA
"lm",1,4.39444915467244,3.60689868744927,120.57263,-27.82424,NA,NA,NA,NA
"lm",1,3.04452243772342,2.67317170571145,120.91854,-27.82289,NA,NA,NA,NA
"lm",1,2.56494935746154,2.91633073588563,120.21878,-27.8163,NA,NA,NA,NA
"lm",1,2.94443897916644,3.13023722801471,120.81921,-27.79814,NA,NA,NA,NA
"lm",1,4.53259949315326,4.34417248384974,120.68908,-27.78056,NA,NA,NA,NA
"lm",1,2.07944154167984,2.74698892633447,120.787,-27.76899,NA,NA,NA,NA
"lm",1,2.99573227355399,2.71217261642845,120.48309,-27.76823,NA,NA,NA,NA
"lm",1,1.94591014905531,2.85081526823336,120.37243,-27.76307,NA,NA,NA,NA
"lm",1,2.63905732961526,2.32332681019797,120.81506,-27.76292,NA,NA,NA,NA
"lm",1,4.86753445045558,3.95601021159019,120.66889,-27.76055,NA,NA,NA,NA
"lm",1,1.38629436111989,2.17764677257874,120.41836,-27.7489,NA,NA,NA,NA
"lm",1,2.39789527279837,3.04615315811413,120.70175,-27.74111,NA,NA,NA,NA
