"k","model","o","p"
2,"hier_rf",3.3322045101752,2.81273849848438
2,"hier_rf",3.09104245335832,2.61604898005677
2,"hier_rf",2.70805020110221,2.68777624968339
2,"hier_rf",2.19722457733622,2.68723798206642
2,"hier_rf",3.09104245335832,2.57838515013126
2,"hier_rf",2.83321334405622,2.60169833281975
2,"hier_rf",3.80666248977032,2.38507965684151
2,"hier_rf",3.3322045101752,2.92483725139132
2,"hier_rf",1.38629436111989,1.87317379763921
2,"hier_rf",2.19722457733622,2.94535621708938
2,"hier_rf",3.43398720448515,3.12595456952851
2,"hier_rf",3.66356164612965,3.24079756063684
2,"hier_rf",3.61091791264422,2.51690588481387
2,"hier_rf",2.39789527279837,2.48523991706938
2,"hier_rf",3.49650756146648,2.8577906904198
2,"hier_rf",3.13549421592915,3.06693908465159
2,"hier_rf",2.56494935746154,3.04115875018651
2,"hier_rf",1.6094379124341,1.67947774816345
2,"hier_rf",1.09861228866811,1.41163617793133
2,"hier_rf",1.79175946922805,1.68544391908181
2,"hier_rf",0.693147180559945,1.42827400537015
2,"hier_rf",2.56494935746154,2.68532089319828
2,"hier_rf",1.94591014905531,1.83533086423523
2,"hier_rf",2.12584791449399,2.04096705137876
2,"hier_rf",1.94591014905531,2.1533070720459
2,"hier_rf",1.38629436111989,2.17110177749676
2,"hier_rf",1.38629436111989,2.03570727287062
2,"hier_rf",3.04452243772342,3.14012702550326
2,"hier_rf",2.30258509299405,2.24877424755615
2,"hier_rf",1.94591014905531,2.44589742893097
2,"hier_rf",3.2188758248682,2.91119864683036
2,"hier_rf",2.89037175789616,2.6329870956125
2,"hier_rf",2.30258509299405,2.77724620223259
2,"hier_rf",2.77258872223978,2.95148714805893
2,"hier_rf",1.50407739677627,2.04809602921052
2,"hier_rf",2.83321334405622,2.70296507881717
2,"hier_rf",2.70805020110221,2.97204331968389
2,"hier_rf",2.77258872223978,2.91975222222349
2,"hier_rf",3.04452243772342,2.58207278221165
2,"hier_rf",2.70805020110221,2.86480973336992
2,"hier_rf",3.17805383034795,3.10239414872112
2,"hier_rf",2.77258872223978,2.48129053758649
2,"hier_rf",3.17805383034795,2.76361345458363
2,"hier_rf",3.17805383034795,2.6495080912645
2,"hier_rf",3.09104245335832,2.86001664916203
2,"hier_rf",3.29583686600433,2.81813407717821
2,"hier_rf",2.56494935746154,2.79001333671046
2,"hier_rf",2.07944154167984,2.27245981303956
2,"hier_rf",2.07944154167984,2.5177835913462
2,"hier_rf",3.24376354037598,2.67552635032689
2,"hier_rf",2.07944154167984,2.67284577043908
2,"hier_rf",2.30258509299405,2.75465354474424
2,"hier_rf",3.40119738166216,2.44554007639269
2,"hier_rf",3.91202300542815,2.71218802283578
2,"hier_rf",2.99573227355399,3.04597853480532
2,"hier_rf",3.29583686600433,2.72685345313135
2,"hier_rf",2.63905732961526,2.47646761314675
2,"hier_rf",3.2188758248682,3.24298687084411
2,"hier_rf",3.13549421592915,2.90008223323664
2,"hier_rf",3.04452243772342,2.84976723529429
2,"hier_rf",3.04452243772342,2.88361601709356
2,"hier_rpart",2.484906649788,2.56133982192719
2,"hier_rpart",3.40119738166216,2.56133982192719
2,"hier_rpart",2.484906649788,2.56133982192719
2,"hier_rpart",1.38629436111989,2.56133982192719
2,"hier_rpart",1.62334081760309,2.56133982192719
2,"hier_rpart",2.70805020110221,2.56133982192719
2,"hier_rpart",2.01490302054226,2.56133982192719
2,"hier_rpart",2.83321334405622,3.11052121889161
2,"hier_rpart",3.40119738166216,2.74088037709559
2,"hier_rpart",3.68887945411394,2.74088037709559
2,"hier_rpart",2.39789527279837,2.56133982192719
2,"hier_rpart",2.484906649788,2.56133982192719
2,"hier_rpart",2.56494935746154,2.74088037709559
2,"hier_rpart",3.46573590279973,2.56133982192719
2,"hier_rpart",2.94443897916644,2.56133982192719
2,"hier_rpart",2.99573227355399,2.56133982192719
2,"hier_rpart",1.48160454092422,2.56133982192719
2,"hier_rpart",2.07944154167984,2.23418452480518
2,"hier_rpart",2.83321334405622,2.56133982192719
2,"hier_rpart",3.17805383034795,2.74088037709559
2,"hier_rpart",3.2188758248682,2.74088037709559
2,"hier_rpart",3.04452243772342,3.11052121889161
2,"hier_rpart",4.00733318523247,2.56133982192719
2,"hier_rpart",1.09861228866811,2.75669405513891
2,"hier_rpart",1.56861591791385,2.75669405513891
2,"hier_rpart",3.04452243772342,2.56133982192719
2,"hier_rpart",2.16332302566054,2.56133982192719
2,"hier_rpart",1.38629436111989,2.56133982192719
2,"hier_rpart",1.6094379124341,2.56133982192719
2,"hier_rpart",1.09861228866811,2.56133982192719
2,"hier_rpart",1.94591014905531,2.56133982192719
2,"hier_rpart",1.6094379124341,2.56133982192719
2,"hier_rpart",1.94591014905531,2.56133982192719
2,"hier_rpart",1.79175946922805,2.56133982192719
